 ******* Program HYDRUS
 ******* 
 Example 2 - test for codes                                              
 
 Units: L = cm   , T = days 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

      90.0333 -0.50000E+03  0.56000E+00 -0.34895E+02 -0.16750E-01 -0.30040E+02 -0.16667E+02  0.18667E-01 -0.11632E+01 -0.55833E-03 -0.10013E+01  0.00000E+00 -0.37119E+02 -0.42907E+01  0.00000E+00  0.00000E+00  0.79071E+02  0.11632E+01  0.00000E+00      1  0.00000E+00
      90.0367 -0.50000E+03  0.56000E+00 -0.29715E+02  0.16931E+00 -0.29734E+02 -0.18328E+02  0.20527E-01 -0.12619E+01  0.40853E-05 -0.11001E+01  0.00000E+00 -0.82602E+01 -0.45784E+01  0.00000E+00  0.00000E+00  0.79070E+02  0.12619E+01  0.00000E+00      2  0.00000E+00
      90.0378 -0.50000E+03  0.56000E+00 -0.28941E+02  0.16677E+00 -0.29552E+02 -0.18881E+02  0.21147E-01 -0.12939E+01  0.18875E-03 -0.11328E+01  0.00000E+00 -0.10381E+02 -0.46659E+01  0.00000E+00  0.00000E+00  0.79069E+02  0.12939E+01  0.00000E+00      3  0.00000E+00
      90.0392 -0.50000E+03  0.56000E+00 -0.29539E+02  0.16890E+00 -0.29377E+02 -0.19601E+02  0.21954E-01 -0.13365E+01  0.43205E-03 -0.11751E+01  0.00000E+00 -0.10877E+02 -0.47776E+01  0.00000E+00  0.00000E+00  0.79069E+02  0.13365E+01  0.00000E+00      4  0.00000E+00
      90.0396 -0.50000E+03  0.56000E+00 -0.29281E+02  0.16079E+00 -0.29320E+02 -0.19817E+02  0.22195E-01 -0.13491E+01  0.50148E-03 -0.11878E+01  0.00000E+00 -0.10616E+02 -0.48117E+01  0.00000E+00  0.00000E+00  0.79069E+02  0.13491E+01  0.00000E+00      5  0.00000E+00
      90.0401 -0.50000E+03  0.56000E+00 -0.28900E+02  0.15520E+00 -0.29261E+02 -0.20033E+02  0.22437E-01 -0.13616E+01  0.56850E-03 -0.12004E+01  0.00000E+00 -0.10320E+02 -0.48465E+01  0.00000E+00  0.00000E+00  0.79069E+02  0.13616E+01  0.00000E+00      6  0.00000E+00
      90.0406 -0.50000E+03  0.56000E+00 -0.29401E+02  0.14733E+00 -0.29183E+02 -0.20314E+02  0.22752E-01 -0.13781E+01  0.65120E-03 -0.12168E+01  0.00000E+00 -0.99812E+01 -0.48923E+01  0.00000E+00  0.00000E+00  0.79069E+02  0.13781E+01  0.00000E+00      7  0.00000E+00
      90.0412 -0.50000E+03  0.56000E+00 -0.29037E+02  0.13893E+00 -0.29104E+02 -0.20595E+02  0.23066E-01 -0.13944E+01  0.72920E-03 -0.12332E+01  0.00000E+00 -0.95723E+01 -0.49389E+01  0.00000E+00  0.00000E+00  0.79069E+02  0.13944E+01  0.00000E+00      8  0.00000E+00
