 ******* Program HYDRUS
 ******* 
 Example 2 - test for codes                                              
 
 Units: L = cm   , T = days 


 Time:       91.0000


 Node    Depth      Head Moisture       K          C         Flux        Sink
         [L]       [L]     [-]        [L/T]      [1/L]      [L/T]        [1/T]

  28  -210.00     152.961 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
  29  -220.00     162.961 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
  30  -225.00     167.961 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
  31  -228.00     170.961 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
  32  -229.00     171.961 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
  33  -230.00     172.961 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
end


 Time:       91.0000


 Node    Depth      Head Moisture       K          C         Flux        Sink
         [L]       [L]     [-]        [L/T]      [1/L]      [L/T]        [1/T]

   1     0.00     -41.686 0.3486   0.1454E+01  0.0000E+00 -0.1000E+01  0.0000E+00
   2    -1.00     -41.367 0.3490   0.1471E+01  0.0000E+00 -0.9922E+00  0.0000E+00
   3    -2.00     -41.034 0.3494   0.1489E+01  0.0000E+00 -0.9636E+00  0.1672E-01
   4    -4.00     -40.295 0.3503   0.1530E+01  0.0000E+00 -0.9261E+00  0.1672E-01
   5    -6.00     -39.455 0.3513   0.1576E+01  0.0000E+00 -0.8505E+00  0.1672E-01
   6   -10.00     -37.477 0.3537   0.1689E+01  0.0000E+00 -0.7611E+00  0.1672E-01
   7   -15.00     -34.426 0.3576   0.1954E+01  0.0000E+00 -0.6438E+00  0.1672E-01
   8   -20.00     -30.795 0.3623   0.2268E+01  0.0000E+00 -0.5115E+00  0.1672E-01
   9   -25.00     -26.679 0.3678   0.2769E+01  0.0000E+00 -0.3780E+00  0.1672E-01
  10   -30.00     -22.178 0.3738   0.3453E+01  0.0000E+00 -0.1898E+00  0.1388E-01
  11   -40.00     -12.450 0.3866   0.6062E+01  0.0000E+00 -0.8083E-01  0.0000E+00
  12   -50.00      -2.466 0.3384   0.3411E+02  0.0000E+00 -0.1619E-01  0.0000E+00
  13   -60.00       7.534 0.3390   0.4534E+02  0.0000E+00  0.6074E-06  0.0000E+00
  14   -70.00      17.534 0.3390   0.4534E+02  0.0000E+00  0.1081E-05  0.0000E+00
  15   -80.00      27.534 0.3390   0.4534E+02  0.0000E+00  0.4324E-05  0.0000E+00
  16   -90.00      37.534 0.3390   0.4534E+02  0.0000E+00  0.4324E-05  0.0000E+00
  17  -100.00      47.534 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
  18  -110.00      57.534 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
  19  -120.00      67.534 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
  20  -130.00      77.534 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
  21  -140.00      87.534 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
  22  -150.00      97.534 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
  23  -160.00     107.534 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
  24  -170.00     117.534 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
  25  -180.00     127.534 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
  26  -190.00     137.534 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
  27  -200.00     147.534 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
  28  -210.00     157.534 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
  29  -220.00     167.534 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
  30  -225.00     172.534 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
  31  -228.00     175.534 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
  32  -229.00     176.534 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
  33  -230.00     177.534 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
end
