 ******* Program HYDRUS
 ******* James Reserves, Riverside, CA                                           

 Units: L = cm   , T = days 

 Year  Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

2000        0.0000 -0.28803E+01  0.00000E+00  0.36466E-01 -0.10809E-01  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.16205E+02 -0.17544E+01 -0.22966E+05 -0.15469E+09 -0.40667E+07 -0.29168E+01  0.20353E+02  0.12910E+01 -0.80115E+08 -0.23020E+02     53  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00  0.28630E+01 -0.91425E-02  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.16216E+02 -0.17544E+01 -0.22966E+05 -0.57568E+08 -0.40667E+07 -0.57433E+01  0.21787E+02  0.27019E+01 -0.80115E+08 -0.25891E+02     57  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.81819E+01 -0.35805E+02  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.16879E+02 -0.17544E+01 -0.22966E+05 -0.95444E+08 -0.40667E+07  0.00000E+00  0.21787E+02  0.14234E+01 -0.80115E+08 -0.25891E+02     59  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.25202E+01 -0.40633E+01  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.16955E+02 -0.17544E+01 -0.22966E+05 -0.22824E+10 -0.40667E+07 -0.36014E+00  0.21794E+02  0.13662E+01 -0.80115E+08 -0.25891E+02     61  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.10754E-03 -0.10287E-01  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.17037E+02 -0.17544E+01 -0.22966E+05 -0.36500E+09 -0.40667E+07 -0.28802E+01  0.21793E+02  0.13207E+01 -0.80115E+08 -0.25891E+02     69  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.22582E-01 -0.39744E-02  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.17084E+02 -0.17544E+01 -0.22966E+05 -0.42883E+09 -0.40667E+07 -0.28577E+01  0.21790E+02  0.15792E+01 -0.80115E+08 -0.25891E+02     77  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.42832E-01 -0.45247E+00  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.17310E+02 -0.17544E+01 -0.22966E+05 -0.33116E+08 -0.40667E+07 -0.28375E+01  0.21783E+02  0.12963E+01 -0.80115E+08 -0.25891E+02     81  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.11801E-03 -0.23278E-01  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.17333E+02 -0.17544E+01 -0.22966E+05 -0.14143E+09 -0.40667E+07 -0.28802E+01  0.21792E+02  0.13212E+01 -0.80115E+08 -0.25891E+02     85  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.63596E-04 -0.53262E-02  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.17380E+02 -0.17544E+01 -0.22966E+05 -0.12574E+09 -0.40667E+07 -0.28802E+01  0.21802E+02  0.13379E+01 -0.80115E+08 -0.25891E+02     93  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.54918E-01 -0.10809E-01  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.17442E+02 -0.17544E+01 -0.22966E+05 -0.15507E+09 -0.40667E+07 -0.28254E+01  0.21799E+02  0.12838E+01 -0.80115E+08 -0.25891E+02    103  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.13804E-01 -0.34232E-02  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.17452E+02 -0.17544E+01 -0.22966E+05 -0.23336E+09 -0.40667E+07 -0.28665E+01  0.21805E+02  0.15796E+01 -0.80115E+08 -0.25891E+02    107  0.00000E+00
